task_id,task_name,status,data_window_days,posts_start,posts_end,likes_start,likes_end,max_liking_users,max_likes_per_user,negative_posts_sample,min_likes_per_user,memory_peak_gb,memory_estimated_peak_gb,memory_start_gb,memory_end_gb,memory_growth_gb,memory_estimate_accuracy_pct,output_likes,output_posts,embedding_dim,likes_initial,likes_final,users_initial,users_final,users_eligible,users_sampled,likes_after_user_sample,likes_after_cap,likes_final_pre_join,users_final_pre_join,retention_users_pct,retention_likes_pct,likes_per_user_mean,likes_per_user_median,likes_per_user_max,likes_per_user_p90,likes_per_user_p99,posts_total,posts_liked,posts_random_sample,posts_match_rate
7e7b342801af41aab5d530a53daaa3e1,01_7d_10ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,100,10000,2,27.279254913330078,8.219756230711937,0.7355613708496094,27.279254913330078,26.54369354248047,331.87425694456806,263129.0,176694.0,384.0,48682613.0,263129.0,1635829.0,8944.0,1323106.0,10000.0,363857.0,363857.0,363857.0,10000.0,0.5467564152487822,0.5404989251501352,36.3857,10.0,7537.0,83.0,392.0100000000002,21080790.0,166857.0,10000.0,74.07109816838759
5c5e046e2b3140acae100df5d457e48b,02_7d_10ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,100,50000,2,27.098682403564453,8.469916388392448,0.7346382141113281,27.098682403564453,26.364044189453125,319.9403767515544,263400.0,213484.0,384.0,48682613.0,263400.0,1635829.0,8897.0,1323106.0,10000.0,371535.0,371535.0,371535.0,10000.0,0.5438832543010302,0.5410555920652821,37.1535,9.0,3072.0,84.0,438.0100000000002,21080790.0,164247.0,50000.0,72.07988835641687
8851277d95074795b793e1bfa096f696,03_7d_10ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,100,100000,2,27.717018127441406,8.84600015450269,0.73455810546875,27.717018127441406,26.982460021972656,313.3282573291976,260253.0,264895.0,384.0,48682613.0,260253.0,1635829.0,8937.0,1323106.0,10000.0,365482.0,365482.0,365482.0,10000.0,0.546328497660819,0.5345912718366206,36.5482,9.0,5031.0,83.0,416.0100000000002,21080790.0,166396.0,100000.0,72.4500370096225
e540ce65d93b4afc85d8c581a10a2f03,04_14d_10ku_100l_10kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,100,10000,2,45.402870178222656,7.892823859117925,0.7341957092285156,45.402870178222656,44.66867446899414,575.242409923699,454114.0,307804.0,384.0,136957557.0,454114.0,2366095.0,9024.0,1966911.0,10000.0,629711.0,629711.0,629711.0,10000.0,0.38138789862621747,0.3315727952127534,62.9711,12.0,4781.0,148.10000000000036,811.0300000000007,39356939.0,297919.0,10000.0,74.6804537193708
154950e26e51451fae26d3d4b5fbd685,05_14d_10ku_100l_50kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,100,50000,2,45.35069274902344,8.141736011952162,0.7351455688476562,45.35069274902344,44.61554718017578,557.015023361702,464325.0,352044.0,384.0,136957557.0,464325.0,2366095.0,8949.0,1966911.0,10000.0,643827.0,643827.0,643827.0,10000.0,0.3782181188836458,0.33902838964921084,64.3827,12.0,5733.0,146.10000000000036,856.0100000000002,39356939.0,302535.0,50000.0,74.50481577891007
85ef1d5dc6434788b18a2e094c328218,06_14d_10ku_100l_100kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,100,100000,2,45.426429748535156,8.38602033816278,0.7340621948242188,45.426429748535156,44.69236755371094,541.6923393544647,495947.0,424957.0,384.0,136957557.0,495947.0,2366095.0,9030.0,1966911.0,10000.0,682951.0,682951.0,682951.0,10000.0,0.3816414810056232,0.3621172944841591,68.2951,12.0,7572.0,148.0,940.0300000000007,39356939.0,326083.0,100000.0,75.1532066809406
989d02fa1c674940b3342a468e39aac8,07_21d_10ku_100l_10kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,100,10000,2,50.30754470825195,7.073408246040344,0.7343482971191406,50.30754470825195,49.57319641113281,711.2207150833383,546103.0,375235.0,384.0,172152261.0,546103.0,2582896.0,8664.0,2149372.0,10000.0,834656.0,834656.0,834656.0,10000.0,0.3354374314722699,0.31722092804810736,83.4656,13.0,37522.0,172.0,1091.0200000000004,42848006.0,365351.0,10000.0,67.44327285884117
8796f9c581ce4d5596975a479bdba03f,08_21d_10ku_100l_50kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,100,50000,2,49.806785583496094,7.3711495865136385,0.7343025207519531,49.806785583496094,49.07248306274414,675.6990208776024,370316.0,311752.0,384.0,172152261.0,370316.0,2582896.0,7958.0,2149372.0,10000.0,772318.0,570236.0,569579.0,9254.0,0.3081037718901574,0.21510957674845757,77.2318,13.0,6181.0,168.10000000000036,1094.0400000000009,42848006.0,262200.0,50000.0,66.99354337589203
a854f16476724e799468859cdd80ab89,09_21d_10ku_100l_100kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,100,100000,2,51.17912673950195,7.764640300534666,0.7344169616699219,51.17912673950195,50.44470977783203,659.1306842118341,533393.0,455331.0,384.0,172152261.0,533393.0,2582896.0,8679.0,2149372.0,10000.0,814510.0,814510.0,814510.0,10000.0,0.3360181749478105,0.30983792887855244,81.451,13.0,11239.0,177.0,1108.090000000002,42848006.0,356446.0,100000.0,67.4854500910671
9168e282df4546c79417c60cff5dab60,10_7d_10ku_500l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,10000,2,27.30426788330078,8.219614359550178,0.7353782653808594,27.30426788330078,26.568889617919922,332.1842934343579,263412.0,175102.0,384.0,48682613.0,263412.0,1635829.0,8899.0,1323106.0,10000.0,368404.0,368404.0,368404.0,10000.0,0.5440055164690197,0.5410802415227794,36.8404,9.0,5031.0,82.0,426.0100000000002,21080790.0,165262.0,10000.0,72.81964511537936
