task_id,task_name,status,data_window_days,posts_start,posts_end,likes_start,likes_end,max_liking_users,max_likes_per_user,negative_posts_sample,min_likes_per_user,memory_peak_gb,memory_estimated_peak_gb,memory_start_gb,memory_end_gb,memory_growth_gb,memory_estimate_accuracy_pct,output_likes,output_posts,embedding_dim,likes_initial,likes_final,users_initial,users_final,users_eligible,users_sampled,likes_after_user_sample,likes_after_cap,likes_final_pre_join,users_final_pre_join,retention_users_pct,retention_likes_pct,likes_per_user_mean,likes_per_user_median,likes_per_user_max,likes_per_user_p90,likes_per_user_p99,posts_total,posts_liked,posts_random_sample,posts_match_rate
ba58d131e8184b838ed70d6f27a284bd,01_7d_10ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907c16bd1fbb44178da35514df1badb1,02_7d_10ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f7a10057c034792b6c5aed7d74c0576,03_7d_10ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771e1c054f3a45859bc36833ea349795,04_14d_10ku_100l_10kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ba4868aae1a4e68a917a29f934526e4,05_14d_10ku_100l_50kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88a25417fcbb46beb2ac6fcd07437158,06_14d_10ku_100l_100kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8617f357aa64af28410dba40da1b1e8,07_21d_10ku_100l_10kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7db262dbd1764d07a31d7bc4d17fed9a,08_21d_10ku_100l_50kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55a95c4579fa4e0c91ee155b4f99da8f,09_21d_10ku_100l_100kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960b9eabc814b0686452ab9ec95460f,10_7d_10ku_500l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd44e63c231547388423b96571f32e64,11_7d_10ku_500l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4894b73bd7284767864b303884b2a40d,12_7d_10ku_500l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41529d248ff94f1293ca590bd8116a88,13_7d_50ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,50000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96273d4bf4aa48549e7029dbe85af681,14_7d_50ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,50000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0625cbc5d949439089aa940c0c4b5ba6,15_7d_50ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,50000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d37f08db07b4795a0ec907a9d7e3afb,16_7d_100ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,100000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b7736e104584119899c0b1d1cb22e2e,17_7d_100ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,100000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719dd0421b4a45f7a65929e0d4d43f84,18_7d_100ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,100000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e7b342801af41aab5d530a53daaa3e1,01_7d_10ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c5e046e2b3140acae100df5d457e48b,02_7d_10ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8851277d95074795b793e1bfa096f696,03_7d_10ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e540ce65d93b4afc85d8c581a10a2f03,04_14d_10ku_100l_10kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154950e26e51451fae26d3d4b5fbd685,05_14d_10ku_100l_50kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85ef1d5dc6434788b18a2e094c328218,06_14d_10ku_100l_100kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989d02fa1c674940b3342a468e39aac8,07_21d_10ku_100l_10kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8796f9c581ce4d5596975a479bdba03f,08_21d_10ku_100l_50kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a854f16476724e799468859cdd80ab89,09_21d_10ku_100l_100kn,completed,21,2026-01-01,2026-01-22,2026-01-01,2026-01-22,10000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9168e282df4546c79417c60cff5dab60,10_7d_10ku_500l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8463979b9d8d45b9a9ac8e296459efa3,11_7d_10ku_500l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7325b5968bdb4dd6965c91ea94e1a9de,12_7d_10ku_500l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,10000,500,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e31798d284014488a1691a00a0cac343,13_7d_50ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,50000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903530fac3614a3cb4f617d3e846ee89,14_7d_50ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,50000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4418c706593e4cf6854194a502a2578c,15_7d_50ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,50000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f7acf9d532b48f1a9cbf9991eada591,16_7d_100ku_100l_10kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,100000,0,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34279d5a20ec4def892551cc87702f23,17_7d_100ku_100l_50kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,100000,0,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eab8a614e60241238cb2cde14e7ad08c,18_7d_100ku_100l_100kn,completed,7,2026-01-01,2026-01-08,2026-01-01,2026-01-08,100000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08993200f65e4c9ea04b05d32e50f073,19_14d_10ku_500l_10kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,500,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee3289122d1848cbb6cb8974e3bade51,20_14d_10ku_500l_50kn,completed,14,2026-01-01,2026-01-15,2026-01-01,2026-01-15,10000,500,50000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
